,k,p,Run,Buckets,Density,issues,l_steps,CI2,d,o,n_agents
771,27,0.45000000000000007,4,3,0.26262626262626265,4,1500,True,0.55,0.1,100
770,27,0.45000000000000007,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
769,27,0.35000000000000003,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
768,27,0.35000000000000003,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
775,27,0.45000000000000007,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
767,27,0.35000000000000003,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
785,28,0.05,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
787,28,0.25000000000000006,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
803,28,0.45000000000000007,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
802,28,0.35000000000000003,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
801,28,0.35000000000000003,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
800,28,0.45000000000000007,4,3,0.2828282828282828,4,1500,True,0.55,0.1,100
799,28,0.45000000000000007,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
798,28,0.45000000000000007,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
797,28,0.35000000000000003,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
786,28,0.15000000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
796,28,0.35000000000000003,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
794,28,0.25000000000000006,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
793,28,0.25000000000000006,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
792,28,0.15000000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
791,28,0.25000000000000006,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
790,28,0.25000000000000006,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
789,28,0.05,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
788,28,0.15000000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
795,28,0.35000000000000003,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
766,27,0.35000000000000003,4,3,0.26262626262626265,4,1500,True,0.55,0.1,100
765,27,0.35000000000000003,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
764,27,0.25000000000000006,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
742,26,0.45000000000000007,4,3,0.26262626262626265,4,1500,True,0.55,0.1,100
741,26,0.45000000000000007,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
740,26,0.35000000000000003,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
739,26,0.45000000000000007,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
738,26,0.35000000000000003,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
737,26,0.35000000000000003,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
736,26,0.35000000000000003,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
743,26,0.45000000000000007,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
735,26,0.15000000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
733,26,0.25000000000000006,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
732,26,0.25000000000000006,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
731,26,0.25000000000000006,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
730,26,0.35000000000000003,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
729,26,0.25000000000000006,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
728,26,0.15000000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
727,26,0.25000000000000006,4,3,0.26262626262626265,4,1500,True,0.55,0.1,100
734,26,0.05,4,32,0.26262626262626265,4,1500,True,0.55,0.1,100
744,26,0.5500000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
745,26,0.5500000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
746,26,0.5500000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
763,27,0.25000000000000006,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
762,27,0.25000000000000006,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
761,27,0.05,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
760,27,0.25000000000000006,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
759,27,0.25000000000000006,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
758,27,0.15000000000000002,4,3,0.26262626262626265,4,1500,True,0.55,0.1,100
757,27,0.05,4,3,0.26262626262626265,4,1500,True,0.55,0.1,100
756,27,0.15000000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
755,27,0.15000000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
754,27,0.15000000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
753,27,0.05,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
752,26,0.45000000000000007,4,9,0.26262626262626265,4,1500,True,0.55,0.1,100
751,27,0.15000000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
750,27,0.05,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
749,27,0.05,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
748,26,0.5500000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
747,26,0.5500000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
805,28,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
966,34,0.15000000000000002,4,2,0.3434343434343434,4,1500,True,0.55,0.1,100
967,34,0.15000000000000002,4,3,0.3434343434343434,4,1500,True,0.55,0.1,100
968,34,0.05,4,2,0.3434343434343434,4,1500,True,0.55,0.1,100
1186,41,0.35000000000000003,4,2,0.40404040404040403,4,1500,True,0.55,0.1,100
1185,41,0.35000000000000003,4,2,0.40404040404040403,4,1500,True,0.55,0.1,100
1184,41,0.25000000000000006,4,2,0.40404040404040403,4,1500,True,0.55,0.1,100
